#;$id;libellé SEDA 2;libellé anglais
;;raf;Western Meohang
;;wow;Wawonii
;;itb;Binongan Itneg
;;kpj;Karajá
;;abx;Inabaknon
;;mqi;Mariri
;;enm;Middle English (1100-1500)
;;boh;Boma
;;mdp;Mbala
;;pti;Pintiini
;;jae;Yabem
;;bhz;Bada (Indonesia)
;;duv;Duvle
;;bwz;Bwisi
;;zsk;Kaskean
;;sdb;Shabak
;;nmk;Namakura
;;kqm;Khisa
;;ncd;Nachering
;;kaz;Kazakh
;;sbm;Sagala
;;mkp;Moikodi
;;gbd;Karadjeri
;;ktb;Kambaata
;;cll;Chala
;;bhq;Tukang Besi South
;;mqn;Moronene
;;ijc;Izon
;;bdu;Oroko
;;nds;Low German
;;lhp;Lhokpu
;;prg;Prussian
;;lmo;Lombard
;;oht;Old Hittite
;;ncp;Ndaktup
;;gio;Gelao
;;bie;Bepour
;;jut;Jutish
;;xkr;Xakriabá
;;yap;Yapese
;;nrt;Northern Kalapuya
;;zbe;East Berawan
;;lnl;South Central Banda
;;krl;Karelian
;;aai;Arifama-Miniafia
;;pnt;Pontic
;;vka;Kariyarra
;;kfl;Kung
;;qws;Sihuas Ancash Quechua
;;lto;Tsotso
;;lob;Lobi
;;hil;Hiligaynon
;;myd;Maramba
;;sht;Shasta
;;hac;Gurani
;;btp;Budibud
;;abz;Abui
;;liz;Libinza
;;atk;Ati
;;tnd;Angosturas Tunebo
;;bhp;Bima
;;aof;Bragat
;;psa;Asue Awyu
;;pmw;Plains Miwok
;;bjk;Barok
;;kow;Kugama
;;dbl;Dyirbal
;;enq;Enga
;;unp;Worora
;;tab;Tabassaran
;;kbc;Kadiwéu
;;say;Saya
;;kfz;Koromfé
;;kjm;Kháng
;;abe;Western Abnaki
;;wul;Silimo
;;nzy;Nzakambay
;;crc;Lonwolwol
;;mip;Apasco-Apoala Mixtec
;;mca;Maca
;;cmn;Mandarin Chinese
;;adp;Adap
;;atp;Pudtol Atta
;;sec;Sechelt
;;xbc;Bactrian
;;soc;So (Democratic Republic of Congo)
;;tck;Tchitchege
;;iar;Purari
;;bob;Aweer
;;sak;Sake
;;mwr;Marwari
;;bbe;Bangba
;;xkk;Kaco'
;;hbn;Heiban
;;mal;Malayalam
;;pgs;Pangseng
;;wec;Wè Western
;;pit;Pitta Pitta
;;jih;Shangzhai
;;kjf;Khalaj
;;kih;Kilmeri
;;atg;Ivbie North-Okpela-Arhe
;;sge;Segai
;;klb;Kiliwa
;;xiy;Xipaya
;;tcm;Tanahmerah
;;mqe;Matepi
;;moa;Mwan
;;jid;Bu
;;pmj;Southern Pumi
;;vls;Vlaams
;;eip;Eipomek
;;rod;Rogo
;;doi;Dogri (macrolanguage)
;;wlm;Middle Welsh
;;thl;Dangaura Tharu
;;mve;Marwari (Pakistan)
;;trm;Tregami
;;nfa;Dhao
;;twf;Northern Tiwa
;;ths;Thakali
;;bpr;Koronadal Blaan
;;jnl;Rawat
;;wan;Wan
;;tzx;Tabriak
;;haz;Hazaragi
;;hle;Hlersu
;;wyr;Wayoró
;;mzp;Movima
;;awr;Awera
;;cik;Chitkuli Kinnauri
;;mhi;Ma'di
;;csm;Central Sierra Miwok
;;xve;Venetic
;;kkf;Kalaktang Monpa
;;kmn;Awtuw
;;squ;Squamish
;;mls;Masalit
;;abm;Abanyom
;;tdq;Tita
;;lyn;Luyana
;;pga;Sudanese Creole Arabic
;;blk;Pa'o Karen
;;ort;Adivasi Oriya
;;psl;Puerto Rican Sign Language
;;lnz;Lonzo
;;tih;Timugon Murut
;;ixl;Ixil
;;mxm;Meramera
;;grr;Taznatit
;;ala;Alago
;;law;Lauje
;;mlo;Mlomp
;;bvo;Bolgo
;;uig;Uighur
;;mif;Mofu-Gudur
;;bud;Ntcham
;;csb;Kashubian
;;auz;Uzbeki Arabic
;;plj;Polci
;;qvn;North Junín Quechua
;;kxj;Kulfa
;;mmq;Musak
;;kcf;Ukaan
;;kok;Konkani (macrolanguage)
;;mki;Dhatki
;;aci;Aka-Cari
;;skn;Kolibugan Subanon
;;hoa;Hoava
;;hmg;Southwestern Guiyang Hmong
;;gro;Groma
;;aes;Alsea
;;bdc;Emberá-Baudó
;;chd;Highland Oaxaca Chontal
;;ori;Oriya
;;aug;Aguna
;;pam;Pampanga
;;rbk;Northern Bontok
;;aar;Afar
;;rit;Ritarungo
;;mfh;Matal
;;gnt;Guntai
;;kod;Kodi
;;bug;Buginese
;;bak;Bashkir
;;bek;Bebeli
;;ayu;Ayu
;;hij;Hijuk
;;yag;Yámana
;;dcr;Negerhollands
;;itv;Itawit
;;mhl;Mauwake
;;lic;Hlai
;;pyx;Pyu (Myanmar)
;;bfj;Bafanji
;;wlv;Wichí Lhamtés Vejoz
;;uga;Ugaritic
;;tax;Tamki
;;auk;Heyo
;;awb;Awa (Papua New Guinea)
;;yit;Eastern Lalu
;;wuh;Wutunhua
;;yde;Yangum Dey
;;sgg;Swiss-German Sign Language
;;pib;Yine
;;mfq;Moba
;;bcq;Bench
;;mml;Man Met
;;eli;Nding
;;bma;Lame
;;xbx;Kabixí
;;bde;Bade
;;mvl;Mbara (Australia)
;;xvs;Vestinian
;;glv;Manx
;;sbq;Sileibi
;;bcg;Baga Binari
;;tsc;Tswa
;;sej;Sene
;;smv;Samvedi
;;rtm;Rotuman
;;xwc;Woccon
;;ake;Akawaio
;;ved;Veddah
;;vas;Vasavi
;;lmf;South Lembata
;;bvj;Baan
;;its;Isekiri
;;rax;Rang
;;kco;Kinalakna
;;rge;Romano-Greek
;;pwg;Gapapaiwa
;;ida;Idakho-Isukha-Tiriki
;;sui;Suki
;;nbk;Nake
;;ldd;Luri
;;fai;Faiwol
;;kqh;Kisankasa
;;khu;Nkhumbi
;;urf;Uradhi
;;xss;Assan
;;kak;Kayapa Kallahan
;;shs;Shuswap
;;mvx;Meoswar
;;huw;Hukumina
;;dud;Hun-Saare
;;cnl;Lalana Chinantec
;;aeq;Aer
;;mrj;Western Mari
;;mau;Huautla Mazatec
;;bip;Bila
;;ngz;Ngungwel
;;guo;Guayabero
;;udg;Muduga
;;lvk;Lavukaleve
;;sch;Sakachep
;;crl;Northern East Cree
;;rmf;Kalo Finnish Romani
;;zmo;Molo
;;tbg;North Tairora
;;swx;Suruahá
;;aoj;Mufian
;;hya;Hya
;;esi;North Alaskan Inupiatun
;;ebo;Teke-Ebo
;;gqr;Gor
;;ywt;Xishanba Lalo
;;tlr;Talise
;;mdw;Mbosi
;;bed;Bedoanas
;;kca;Khanty
;;dan;Danish
;;klx;Koluwawa
;;ast;Asturian
;;kqf;Kakabai
;;nhz;Santa María La Alta Nahuatl
;;daz;Dao
;;lka;Lakalei
;;end;Ende
;;urx;Urimo
;;dob;Dobu
;;wfg;Yafi
;;ggl;Ganglau
;;sti;Bulo Stieng
;;kio;Kiowa
;;qya;Quenya
;;gai;Borei
;;tbp;Taworta
;;nau;Nauru
;;ona;Ona
;;xty;Yoloxochitl Mixtec
;;wua;Wikngenchera
;;kkn;Kon Keu
;;ngo;Ngoni
;;naa;Namla
;;hmc;Central Huishui Hmong
;;zmf;Mfinu
;;yln;Langnian Buyang
;;nhe;Eastern Huasteca Nahuatl
;;yug;Yug
;;czn;Zenzontepec Chatino
;;bhi;Bhilali
;;wae;Walser
;;bjd;Bandjigali
;;ijn;Kalabari
;;tsf;Southwestern Tamang
;;fam;Fam
;;tgy;Togoyo
;;nba;Nyemba
;;bmt;Biao Mon
;;mde;Maba (Chad)
;;wtw;Wotu
;;nvh;Nasarian
;;jen;Dza
;;bov;Tuwuli
;;gmb;Gula'alaa
;;waa;Walla Walla
;;ihi;Ihievbe
;;tpy;Trumai
;;nhv;Temascaltepec Nahuatl
;;lri;Marachi
;;huf;Humene
;;xku;Kaamba
;;ktg;Kalkutung
;;baa;Babatana
;;lam;Lamba
;;qui;Quileute
;;jiv;Shuar
;;loc;Inonhan
;;aad;Amal
;;mcx;Mpiemo
;;mte;Mono (Solomon Islands)
;;chw;Chuwabu
;;vnp;Vunapu
;;kut;Kutenai
;;kdv;Kado
;;tgg;Tangga
;;nga;Ngbaka
;;lsy;Mauritian Sign Language
;;gbo;Northern Grebo
;;kia;Kim
;;okh;Koresh-e Rostam
;;nbj;Ngarinman
;;iyx;Yaka (Congo)
;;znk;Manangkari
;;tqw;Tonkawa
;;gwj;/Gwi
;;hmy;Southern Guiyang Hmong
;;djm;Jamsay Dogon
;;umr;Umbugarla
;;iwm;Iwam
;;ggk;Kungarakany
;;gdu;Gudu
;;ubr;Ubir
;;huc;=/Hua
;;dee;Dewoin
;;bsk;Burushaski
;;asm;Assamese
;;seu;Serui-Laut
;;ynk;Naukan Yupik
;;nug;Nungali
;;gwr;Gwere
;;glu;Gula (Chad)
;;dje;Zarma
;;csw;Swampy Cree
;;sjr;Siar-Lak
;;btu;Batu
;;rka;Kraol
;;mkg;Mak (China)
;;dtk;Tene Kan Dogon
;;mop;Mopán Maya
;;bws;Bomboma
;;txe;Totoli
;;mmx;Madak
;;tgr;Tareng
;;vku;Kurrama
;;urp;Uru-Pa-In
;;rom;Romany
;;pcl;Pardhi
;;bio;Nai
;;bqv;Begbere-Ejar
;;ich;Etkywan
;;nhn;Central Nahuatl
;;nnp;Wancho Naga
;;gne;Ganang
;;cle;Lealao Chinantec
;;ssc;Suba-Simbiti
;;imy;Milyan
;;agf;Arguni
;;wbm;Wa
;;ono;Onondaga
;;bby;Befang
;;zbw;West Berawan
;;ury;Orya
;;goz;Gozarkhani
;;anq;Jarawa (India)
;;vmc;Juxtlahuaca Mixtec
;;lmx;Laimbue
;;fan;Fang (Equatorial Guinea)
;;div;Dhivehi
;;wrn;Warnang
;;sku;Sakao
;;otb;Old Tibetan
;;kol;Kol (Papua New Guinea)
;;kmm;Kom (India)
;;gmh;Middle High German (ca. 1050-1500)
;;ksk;Kansa
;;hum;Hungana
;;qup;Southern Pastaza Quechua
;;tis;Masadiit Itneg
;;zga;Kinga
;;kvx;Parkari Koli
;;aig;Antigua and Barbuda Creole English
;;ihb;Iha Based Pidgin
;;bvx;Dibole
;;rsi;Rennellese Sign Language
;;kno;Kono (Sierra Leone)
;;krr;Kru'ng 2
;;ubu;Umbu-Ungu
;;mts;Yora
;;sbd;Southern Samo
;;gju;Gujari
;;bnm;Batanga
;;doh;Dong
;;oku;Oku
;;lcs;Lisabata-Nuniali
;;knd;Konda
;;ikz;Ikizu
;;aij;Lishanid Noshan
;;tyn;Kombai
;;dag;Dagbani
;;amy;Ami
;;bnr;Butmas-Tur
;;sru;Suruí
;;mgb;Mararit
;;zph;Totomachapan Zapotec
;;xod;Kokoda
;;dgn;Dagoman
;;ttc;Tektiteko
;;sde;Surubu
;;sck;Sadri
;;gdq;Mehri
;;dbo;Dulbu
;;woo;Manombai
;;nsq;Northern Sierra Miwok
;;czt;Zotung Chin
;;srm;Saramaccan
;;glc;Bon Gula
;;dor;Dori'o
;;ari;Arikara
;;bkj;Pande
;;eya;Eyak
;;brr;Birao
;;azz;Highland Puebla Nahuatl
;;tys;Tày Sa Pa
;;igg;Igana
;;xpg;Phrygian
;;pgi;Pagi
;;ndk;Ndaka
;;xht;Hattic
;;aoc;Pemon
;;ilu;Ili'uun
;;bev;Daloa Bété
;;pus;Pushto
;;rhg;Rohingya
;;kbj;Kari
;;cug;Cung
;;tby;Tabaru
;;swj;Sira
;;pum;Puma
;;laa;Southern Subanen
;;brx;Bodo (India)
;;ugn;Ugandan Sign Language
;;bgn;Western Balochi
;;rme;Angloromani
;;nxm;Numidian
;;nyi;Ama (Sudan)
;;ame;Yanesha'
;;yom;Yombe
;;mni;Manipuri
;;wew;Wejewa
;;mvz;Mesqan
;;kjt;Phrae Pwo Karen
;;gle;Irish
;;pkr;Attapady Kurumba
;;ktp;Kaduo
;;tly;Talysh
;;zae;Yareni Zapotec
;;bwl;Bwela
;;nei;Neo-Hittite
;;eka;Ekajuk
;;ckt;Chukot
;;cin;Cinta Larga
;;ukq;Ukwa
;;vid;Vidunda
;;xok;Xokleng
;;rmg;Traveller Norwegian
;;coq;Coquille
;;nmz;Nawdm
;;kmt;Kemtuik
;;tkf;Tukumanféd
;;new;Newari
;;srd;Sardinian
;;osa;Osage
;;mco;Coatlán Mixe
;;bnk;Bierebo
;;kqs;Northern Kissi
;;nll;Nihali
;;bzb;Andio
;;bst;Basketo
;;org;Oring
;;orz;Ormu
;;ogo;Khana
;;lov;Lopi
;;nuz;Tlamacazapa Nahuatl
;;kqx;Mser
;;ciw;Chippewa
;;yno;Yong
;;cdo;Min Dong Chinese
;;nuu;Ngbundu
;;sei;Seri
;;xap;Apalachee
;;nkh;Khezha Naga
;;mwd;Mudbura
;;kkt;Koi
;;nop;Numanggang
;;mum;Maiwala
;;wmw;Mwani
;;kov;Kudu-Camo
;;ilb;Ila
;;ign;Ignaciano
;;swc;Congo Swahili
;;bfm;Mmen
;;gya;Northwest Gbaya
;;wod;Wolani
;;hgw;Haigwai
;;xcr;Carian
;;pal;Pahlavi
;;jms;Mashi (Nigeria)
;;clw;Chulym
;;fui;Bagirmi Fulfulde
;;che;Chechen
;;min;Minangkabau
;;dmx;Dema
;;ban;Balinese
;;kri;Krio
;;aja;Aja (Sudan)
;;rau;Raute
;;kdg;Seba
;;agk;Isarog Agta
;;xab;Sambe
;;tnp;Whitesands
;;lel;Lele (Democratic Republic of Congo)
;;cac;Chuj
;;ssv;Shark Bay
;;tqn;Tenino
;;myx;Masaaba
;;nsh;Ngoshie
;;byv;Medumba
;;tft;Ternate
;;mie;Ocotepec Mixtec
;;tmn;Taman (Indonesia)
;;mmb;Momina
;;apu;Apurinã
;;koe;Kacipo-Balesi
;;klm;Migum
;;aiq;Aimaq
;;sya;Siang
;;tmw;Temuan
;;ner;Yahadian
;;emw;Emplawas
;;nrl;Ngarluma
;;zir;Ziriya
;;kxp;Wadiyara Koli
;;kuq;Karipuna
;;fgr;Fongoro
;;cwt;Kuwaataay
;;efe;Efe
;;adu;Aduge
;;nzi;Nzima
;;vto;Vitou
;;stp;Southeastern Tepehuan
;;klt;Nukna
;;guw;Gun
;;pca;Santa Inés Ahuatempan Popoloca
;;yix;Axi Yi
;;udj;Ujir
;;dau;Dar Sila Daju
;;liq;Libido
;;crw;Chrau
;;nks;North Asmat
;;myv;Erzya
;;ifa;Amganad Ifugao
;;emi;Mussau-Emira
;;kvg;Kuni-Boazi
;;tkd;Tukudede
;;mmk;Mukha-Dora
;;gbe;Niksek
;;bry;Burui
;;ocu;Atzingo Matlatzinca
;;dmk;Domaaki
;;mzw;Deg
;;duy;Dicamay Agta
;;moy;Shekkacho
;;idt;Idaté
;;zml;Madngele
;;sma;Southern Sami
;;mdr;Mandar
;;xor;Korubo
;;kub;Kutep
;;btj;Bacanese Malay
;;ful;Fulah
;;mxd;Modang
;;pbs;Central Pame
;;zil;Zialo
;;geq;Geme
;;aux;Aurá
;;aki;Aiome
;;msj;Ma (Democratic Republic of Congo)
;;lok;Loko
;;toh;Gitonga
;;zaz;Zari
;;swq;Sharwa
;;tny;Tongwe
;;kfw;Kharam Naga
;;vki;Ija-Zuba
;;thh;Northern Tarahumara
;;mft;Mokerang
;;anj;Anor
;;gdf;Guduf-Gava
;;nod;Northern Thai
;;haq;Ha
;;zhn;Nong Zhuang
;;blt;Tai Dam
;;npb;Nupbikha
;;kvb;Kubu
;;yii;Yidiny
;;dre;Dolpo
;;bqc;Boko (Benin)
;;spp;Supyire Senoufo
;;crs;Seselwa Creole French
;;bgr;Bawm Chin
;;gyr;Guarayu
;;pem;Phende
;;moj;Monzombo
;;txn;West Tarangan
;;hnu;Hung
;;nnd;West Ambae
;;szw;Sawai
;;nob;Norwegian Bokmål
;;ped;Mala (Papua New Guinea)
;;lub;Luba-Katanga
;;xts;Sindihui Mixtec
;;hji;Haji
;;spi;Saponi
;;kep;Kaikadi
;;frs;Eastern Frisian
;;arp;Arapaho
;;zku;Kaurna
;;olo;Livvi
;;nhh;Nahari
;;mjm;Medebur
;;tom;Tombulu
;;alo;Larike-Wakasihu
;;ibd;Iwaidja
;;hch;Huichol
;;doa;Dom
;;xuo;Kuo
;;otx;Texcatepec Otomi
;;tcb;Tanacross
;;nac;Narak
;;yrk;Nenets
;;gin;Hinukh
;;ssp;Spanish Sign Language
;;lbj;Ladakhi
;;mru;Mono (Cameroon)
;;ghn;Ghanongga
;;gec;Gboloo Grebo
;;teu;Soo
;;pls;San Marcos Tlalcoyalco Popoloca
;;miw;Akoye
;;ttk;Totoro
;;xhe;Khetrani
;;abf;Abai Sungai
;;lba;Lui
;;gua;Shiki
;;xtz;Tasmanian
;;nbh;Ngamo
;;sja;Epena
;;asf;Australian Sign Language
;;vgt;Vlaamse Gebarentaal
;;kvv;Kola
;;zap;Zapotec
;;guj;Gujarati
;;dza;Tunzu
;;acb;Áncá
;;nyw;Nyaw
;;nke;Duke
;;jim;Jimi (Cameroon)
;;bxe;Birale
;;bmk;Ghayavi
;;zpr;Santiago Xanica Zapotec
;;wie;Wik-Epa
;;tkr;Tsakhur
;;nsc;Nshi
;;sxk;Southern Kalapuya
;;amw;Western Neo-Aramaic
;;xmm;Manado Malay
;;knk;Kuranko
;;cap;Chipaya
;;prh;Porohanon
;;pda;Anam
;;xpm;Pumpokol
;;oon;Önge
;;lbn;Lamet
;;tac;Lowland Tarahumara
;;cpc;Ajyíninka Apurucayali
;;qxs;Southern Qiang
;;kzk;Kazukuru
;;bbr;Girawa
;;lkt;Lakota
;;ram;Canela
;;kyx;Rapoisi
;;nsv;Southwestern Nisu
;;noy;Noy
;;sol;Solos
;;mso;Mombum
;;did;Didinga
;;vml;Malgana
;;nmd;Ndumu
;;keb;Kélé
;;vrt;Burmbar
;;ten;Tama (Colombia)
;;mnv;Rennell-Bellona
;;rji;Raji
;;isr;Israeli Sign Language
;;lij;Ligurian
;;mbe;Molale
;;her;Herero
;;mhs;Buru (Indonesia)
;;drl;Darling
;;any;Anyin
;;hca;Andaman Creole Hindi
;;aez;Aeka
;;gah;Alekano
;;hos;Ho Chi Minh City Sign Language
;;poe;San Juan Atzingo Popoloca
;;vaj;Vasekela Bushman
;;ted;Tepo Krumen
;;irh;Irarutu
;;zpq;Zoogocho Zapotec
;;shl;Shendu
;;pev;Pémono
;;tee;Huehuetla Tepehua
;;nhk;Isthmus-Cosoleacaque Nahuatl
;;jpa;Jewish Palestinian Aramaic
;;bau;Bada (Nigeria)
;;vmx;Tamazola Mixtec
;;opt;Opata
;;swy;Sarua
;;dgd;Dagaari Dioula
;;bfc;Northern Bai
;;ndd;Nde-Nsele-Nta
;;dmb;Mombo Dogon
;;xlu;Cuneiform Luwian
;;boo;Tiemacèwè Bozo
;;xsi;Sio
;;kst;Winyé
;;kei;Kei
;;bzn;Boano (Maluku)
;;kmx;Waboda
;;vsi;Moldova Sign Language
;;rna;Runa
;;duo;Dupaninan Agta
;;mtl;Montol
;;kmb;Kimbundu
;;mbn;Macaguán
;;wti;Berta
;;mej;Meyah
;;bab;Bainouk-Gunyuño
;;dtp;Central Dusun
;;ymr;Malasar
;;trx;Tringgus-Sembaan Bidayuh
;;lbx;Lawangan
;;cst;Northern Ohlone
;;kxf;Manumanaw Karen
;;jbj;Arandai
;;mnj;Munji
;;kmc;Southern Dong
;;hsl;Hausa Sign Language
;;fir;Firan
;;kad;Kadara
;;obr;Old Burmese
;;nde;North Ndebele
;;jaz;Jawe
;;kbx;Ap Ma
;;ivb;Ibatan
;;ccq;Chaungtha
;;mfm;Marghi South
;;mcj;Mvanip
;;ksq;Kwaami
;;fln;Flinders Island
;;hsn;Xiang Chinese
;;col;Columbia-Wenatchi
;;brd;Baraamu
;;dhu;Dhurga
;;had;Hatam
;;yen;Yendang
;;nbq;Nggem
;;avt;Au
;;kex;Kukna
;;goq;Gorap
;;bvc;Baelelea
;;mqv;Mosimo
;;geg;Gengle
;;apx;Aputai
;;zaw;Mitla Zapotec
;;bmw;Bomwali
;;vsv;Valencian Sign Language
;;wbh;Wanda
;;kgg;Kusunda
;;mjd;Northwest Maidu
;;lbw;Tolaki
;;agt;Central Cagayan Agta
;;mjx;Mahali
;;abp;Abellen Ayta
;;mxf;Malgbe
;;tbx;Kapin
;;stj;Matya Samo
;;tbn;Barro Negro Tunebo
;;pwm;Molbog
;;mav;Sateré-Mawé
;;ldj;Lemoro
;;hod;Holma
;;tld;Talaud
;;ome;Omejes
;;koz;Korak
;;epo;Esperanto
;;vmi;Miwa
;;hrk;Haruku
;;hat;Haitian
;;ckb;Central Kurdish
;;abr;Abron
;;xcu;Curonian
;;asz;As
;;sca;Sansu
;;unm;Unami
;;cvn;Valle Nacional Chinantec
;;mdv;Santa Lucía Monteverde Mixtec
;;kin;Kinyarwanda
;;uri;Urim
;;pth;Pataxó Hã-Ha-Hãe
;;ium;Iu Mien
;;gau;Mudhili Gadaba
;;yua;Yucateco
;;pux;Puare
;;nad;Nijadali
;;xkx;Karore
;;lmj;West Lembata
;;dmg;Upper Kinabatangan
;;gqi;Guiqiong
;;xri;Krikati-Timbira
;;ktk;Kaniet
;;oma;Omaha-Ponca
;;ghr;Ghera
;;tbo;Tawala
;;bvk;Bukat
;;cgk;Chocangacakha
;;acy;Cypriot Arabic
;;bdb;Basap
;;lim;Limburgan
;;hsb;Upper Sorbian
;;oko;Old Korean (3rd-9th cent.)
;;avd;Alviri-Vidari
;;lew;Ledo Kaili
;;scg;Sanggau
;;cmt;Camtho
;;cdg;Chamari
;;gal;Galoli
;;pgk;Rerep
;;nqk;Kura Ede Nago
;;iii;Sichuan Yi
;;kqi;Koitabu
;;fah;Baissa Fali
;;gof;Gofa
;;zlm;Malay (individual language)
;;nhw;Western Huasteca Nahuatl
;;khb;Lü
;;utr;Etulo
;;lwh;White Lachi
;;rnl;Ranglong
;;kkc;Odoodee
;;seg;Segeju
;;qus;Santiago del Estero Quichua
;;bfh;Blafe
;;stm;Setaman
;;bjh;Bahinemo
;;etn;Eton (Vanuatu)
;;kjg;Khmu
;;bww;Bwa
;;tfn;Tanaina
;;lst;Trinidad and Tobago Sign Language
;;rwk;Rwa
;;wgi;Wahgi
;;cno;Con
;;ill;Iranun
;;twa;Twana
;;gac;Mixed Great Andamanese
;;rim;Nyaturu
;;lea;Lega-Shabunda
;;zgm;Minz Zhuang
;;bqz;Bakaka
;;anf;Animere
;;nbu;Rongmei Naga
;;tkb;Buksa
;;myp;Pirahã
;;eso;Estonian Sign Language
;;zrs;Mairasi
;;bwp;Mandobo Bawah
;;pyn;Poyanáwa
;;prx;Purik
;;tmm;Tai Thanh
;;omi;Omi
;;pij;Pijao
;;khr;Kharia
;;mkc;Siliput
;;kig;Kimaama
;;bbh;Bugan
;;hea;Northern Qiandong Miao
;;wnm;Wanggamala
;;kcp;Kanga
;;dsq;Tadaksahak
;;lax;Tiwa
;;slu;Selaru
;;bps;Sarangani Blaan
;;nwe;Ngwe
;;niz;Ningil
;;kal;Kalaallisut
;;psr;Portuguese Sign Language
;;ega;Ega
;;rnp;Rongpo
;;wab;Wab
;;aul;Aulua
;;udu;Uduk
;;aws;South Awyu
;;xzp;Ancient Zapotec
;;ktt;Ketum
;;ckh;Chak
;;wao;Wappo
;;bcy;Bacama
;;hlb;Halbi
;;bcr;Babine
;;fuf;Pular
;;pru;Puragi
;;jee;Jerung
;;mhf;Mamaa
;;yao;Yao
;;thm;Aheu
;;neq;North Central Mixe
;;xwg;Kwegu
;;tum;Tumbuka
;;tpu;Tampuan
;;sgb;Mag-antsi Ayta
;;bvd;Baeggu
;;fal;South Fali
;;tui;Tupuri
;;bvn;Buna
;;cob;Chicomuceltec
;;gbs;Gbesi Gbe
;;pmk;Pamlico
;;ald;Alladian
;;tnq;Taino
;;haf;Haiphong Sign Language
;;sqa;Shama-Sambuga
;;lkd;Lakondê
;;bej;Beja
;;mlt;Maltese
;;eiv;Askopan
;;pua;Western Highland Purepecha
;;bkp;Boko (Democratic Republic of Congo)
;;bls;Balaesang
;;tnz;Tonga (Thailand)
;;kcj;Kobiana
;;bmp;Bulgebi
;;mrp;Morouas
;;bht;Bhattiyali
;;lsm;Saamia
;;zmu;Muruwari
;;myy;Macuna
;;czk;Knaanic
;;bgj;Bangolan
;;luo;Luo (Kenya and Tanzania)
;;nja;Nzanyi
;;auh;Aushi
;;bch;Bariai
;;nmc;Ngam
;;srv;Southern Sorsoganon
;;pdi;Pa Di
;;max;North Moluccan Malay
;;gcr;Guianese Creole French
;;tal;Tal
;;skq;Sininkere
;;trl;Traveller Scottish
;;trh;Turaka
;;mqf;Momuna
;;wer;Weri
;;sif;Siamou
;;rub;Gungu
;;vic;Virgin Islands Creole English
;;oji;Ojibwa
;;cla;Ron
;;gwb;Gwa
;;yna;Aluo
;;lif;Limbu
;;trs;Chicahuaxtla Triqui
;;mxx;Mahou
;;thw;Thudam
;;abh;Tajiki Arabic
;;oru;Ormuri
;;vay;Wayu
;;sym;Maya Samo
;;aap;Pará Arára
;;mcl;Macaguaje
;;yij;Yindjibarndi
;;ukw;Ukwuani-Aboh-Ndoni
;;rmk;Romkun
;;tsz;Purepecha
;;kww;Kwinti
;;nak;Nakanai
;;aag;Ambrak
;;kua;Kuanyama
;;diz;Ding
;;spd;Saep
;;bxp;Bebil
;;psn;Panasuan
;;jaa;Jamamadí
;;kju;Kashaya
;;bzy;Obanliku
;;kzs;Sugut Dusun
;;mbv;Mbulungish
;;nge;Ngemba
;;mvs;Massep
;;mqa;Maba (Indonesia)
;;skx;Seko Padang
;;nrr;Norra
;;fly;Tsotsitaal
;;mnl;Tiale
;;kpi;Kofei
;;gum;Guambiano
;;abw;Pal
;;ven;Venda
;;sop;Songe
;;pbi;Parkwa
;;ons;Ono
;;mse;Musey
;;loj;Lou
;;ids;Idesa
;;dui;Dumun
;;zsm;Standard Malay
;;pfe;Peere
;;xns;Kanashi
;;sxu;Upper Saxon
;;kmg;Kâte
;;fia;Nobiin
;;sbe;Saliba
;;qxh;Panao Huánuco Quechua
;;xhu;Hurrian
;;nly;Nyamal
;;bog;Bamako Sign Language
;;mis;Uncoded languages
;;bgx;Balkan Gagauz Turkish
;;bsm;Busami
;;ktd;Kokata
;;lnm;Langam
;;glw;Glavda
;;kpb;Mullu Kurumba
;;sgm;Singa
;;hoo;Holoholo
;;fut;Futuna-Aniwa
;;ybb;Yemba
;;wig;Wik-Ngathana
;;irn;Irántxe
;;zoh;Chimalapa Zoque
;;iti;Inlaod Itneg
;;pei;Chichimeca-Jonaz
;;grw;Gweda
;;lga;Lungga
;;ndr;Ndoola
;;aby;Aneme Wake
;;ndp;Ndo
;;nmn;!Xóõ
;;ach;Acoli
;;dya;Dyan
;;smt;Simte
;;oge;Old Georgian
;;ncz;Natchez
;;mhx;Maru
;;slm;Pangutaran Sama
;;bid;Bidiyo
;;kqo;Eastern Krahn
;;txy;Tanosy Malagasy
;;nzb;Njebi
;;clo;Lowland Oaxaca Chontal
;;wle;Wolane
;;xeb;Eblan
;;wln;Walloon
;;psd;Plains Indian Sign Language
;;kfh;Kurichiya
;;qwt;Kwalhioqua-Tlatskanai
;;pnu;Jiongnai Bunu
;;nav;Navajo
;;drr;Dororo
;;tiw;Tiwi
;;nlk;Ninia Yali
;;vah;Varhadi-Nagpuri
;;ywa;Kalou
;;kkk;Kokota
;;tbf;Mandara
;;pcg;Paniya
;;kfp;Korwa
;;jus;Jumla Sign Language
;;gmx;Magoma
;;nul;Nusa Laut
;;umu;Munsee
;;bho;Bhojpuri
;;mij;Abar
;;kjn;Kunjen
;;kat;Georgian
;;bus;Bokobaru
;;lna;Langbashe
;;lat;Latin
;;hit;Hittite
;;gba;Gbaya (Central African Republic)
;;tpm;Tampulma
;;mze;Morawa
;;mks;Silacayoapan Mixtec
;;shu;Chadian Arabic
;;cwg;Chewong
;;thp;Thompson
